Date,Adj Close
2015-09-01,1490.97998046875
2015-10-01,1573.5400390625
2015-11-01,1562.0799560546875
2015-12-01,1528.739990234375
2016-01-01,1449.47998046875
2016-02-01,1437.9300537109375
2016-03-01,1450.3900146484375
2016-04-01,1437.5899658203125
2016-05-01,1443.81005859375
2016-06-01,1397.949951171875
2016-07-01,1453.489990234375
2016-08-01,1447.010009765625
2016-09-01,1442.9300537109375
2016-10-01,1405.52001953125
2016-11-01,1445.9000244140625
2016-12-01,1470.780029296875
2017-01-01,1405.7900390625
2017-02-01,1423.030029296875
2017-03-01,1397.3800048828125
2017-04-01,1407.02001953125
2017-05-01,1419.3599853515625
2017-06-01,1433.6300048828125
2017-07-01,1446.9599609375
2017-08-01,1400.93994140625
2017-09-01,1419.2099609375
2017-10-01,1436.9000244140625
2017-11-01,1405.780029296875
2017-12-01,1512.1500244140625
2018-01-01,1526.6700439453125
2018-02-01,1500.56005859375
2018-03-01,1436.219970703125
2018-04-01,1465.239990234375
2018-05-01,1512.010009765625
2018-06-01,1518.5899658203125
2018-07-01,1579.489990234375
2018-08-01,1666.0400390625
2018-09-01,1667.5
2018-10-01,1587.1400146484375
2018-11-01,1633.6099853515625
2018-12-01,1464.510009765625
2019-01-01,1554.1400146484375
2019-02-01,1571.2099609375
2019-03-01,1542.800048828125
2019-04-01,1599.0799560546875
2019-05-01,1544.43994140625
2019-06-01,1598.050048828125
2019-07-01,1624.4200439453125
2019-08-01,1561.97998046875
2019-09-01,1615.47998046875
2019-10-01,1654.1300048828125
2019-11-01,1702.52001953125
2019-12-01,1683.2900390625
2020-01-01,1696.3299560546875
2020-02-01,1611.7099609375
2020-03-01,1321.93994140625
2020-04-01,1426.300048828125
2020-05-01,1438.25
2020-06-01,1342.4000244140625
2020-07-01,1380.6300048828125
2020-08-01,1399.6199951171875
