Date,Adj Close
2016-02-01,29.270000457763672
2016-03-01,29.309999465942383
2016-04-01,27.760000228881836
2016-05-01,28.25
2016-06-01,29.799999237060547
2016-07-01,26.239999771118164
2016-08-01,28.709999084472656
2016-09-01,30.809999465942383
2016-10-01,33.2400016784668
2016-11-01,31.700000762939453
2016-12-01,27.200000762939453
2017-01-01,34.84000015258789
2017-02-01,38.970001220703125
2017-03-01,36.61000061035156
2017-04-01,40.880001068115234
2017-05-01,36.75
2017-06-01,45.0
2017-07-01,70.48999786376953
2017-08-01,68.91999816894531
2017-09-01,103.45999908447266
2017-10-01,92.30000305175781
2017-11-01,80.0
2017-12-01,97.72000122070312
2018-01-01,135.75
2018-02-01,143.47000122070312
2018-03-01,168.0
2018-04-01,169.5800018310547
2018-05-01,200.1199951171875
2018-06-01,153.72999572753906
2018-07-01,189.66000366210938
2018-08-01,177.52999877929688
2018-09-01,172.22000122070312
2018-10-01,125.94000244140625
2018-11-01,153.30999755859375
2018-12-01,140.25999450683594
2019-01-01,129.47999572753906
2019-02-01,137.0500030517578
2019-03-01,132.0
2019-04-01,124.2300033569336
2019-05-01,117.93000030517578
2019-06-01,123.94999694824219
2019-07-01,137.33999633789062
2019-08-01,143.75
2019-09-01,122.45999908447266
2019-10-01,138.33999633789062
2019-11-01,203.2899932861328
2019-12-01,165.75999450683594
2020-01-01,152.36000061035156
2020-02-01,158.35000610351562
2020-03-01,123.11000061035156
2020-04-01,152.8300018310547
2020-05-01,165.5399932861328
2020-06-01,188.39999389648438
2020-07-01,209.0
2020-07-31,209.0
