Date,Open,High,Low,Close,Adj Close,Volume
2015-08-01,1712.209961,1725.040039,1545.729980,1574.939941,1574.939941,1843348800
2015-09-01,1561.520020,1627.310059,1468.930054,1490.979980,1490.979980,752132500
2015-10-01,1492.989990,1584.719971,1484.800049,1573.540039,1573.540039,877124200
2015-11-01,1568.650024,1590.150024,1515.930054,1562.079956,1562.079956,1560284800
2015-12-01,1571.479980,1579.770020,1484.060059,1528.739990,1528.739990,1192135100
2016-01-01,1527.479980,1542.540039,1427.449951,1449.479980,1449.479980,1860077300
2016-02-01,1471.890015,1475.270020,1383.339966,1437.930054,1437.930054,768130300
2016-03-01,1438.329956,1499.349976,1437.589966,1450.390015,1450.390015,803986000
2016-04-01,1455.380005,1504.420044,1433.589966,1437.589966,1437.589966,1287783100
2016-05-01,1426.010010,1450.560059,1394.520020,1443.810059,1443.810059,1549083000
2016-06-01,1444.020020,1454.699951,1378.800049,1397.949951,1397.949951,1214231200
2016-07-01,1412.410034,1473.359985,1394.560059,1453.489990,1453.489990,1201270600
2016-08-01,1462.949951,1487.109985,1442.229980,1447.010010,1447.010010,754586300
2016-09-01,1447.569946,1467.530029,1423.869995,1442.930054,1442.930054,833544700
2016-10-01,1432.339966,1444.449951,1402.270020,1405.520020,1405.520020,496553700
2016-11-01,1409.500000,1460.660034,1372.229980,1445.900024,1445.900024,847355000
2016-12-01,1442.170044,1490.229980,1430.550049,1470.780029,1470.780029,885888400
2017-01-01,1461.660034,1471.079956,1402.410034,1405.790039,1405.790039,1710000300
2017-02-01,1415.989990,1462.689941,1406.540039,1423.030029,1423.030029,536770600
2017-03-01,1427.349976,1449.709961,1389.390015,1397.380005,1397.380005,708054800
2017-04-01,1388.739990,1410.750000,1372.310059,1407.020020,1407.020020,2100224900
2017-05-01,1401.050049,1436.270020,1399.849976,1419.359985,1419.359985,1060423000
2017-06-01,1418.719971,1446.520020,1415.020020,1433.630005,1433.630005,1765426100
2017-07-01,1432.560059,1468.109985,1427.310059,1446.959961,1446.959961,2398340500
2017-08-01,1448.550049,1449.449951,1346.709961,1400.939941,1400.939941,1033607500
2017-09-01,1393.140015,1428.300049,1379.030029,1419.209961,1419.209961,1591416800
2017-10-01,1427.510010,1451.930054,1425.979980,1436.900024,1436.900024,1866766100
2017-11-01,1443.229980,1465.739990,1397.650024,1405.780029,1405.780029,1636417800
2017-12-01,1468.449951,1517.050049,1439.290039,1512.150024,1512.150024,2195069800
2018-01-01,1511.500000,1555.630005,1511.390015,1526.670044,1526.670044,1649800000
2018-02-01,1545.939941,1548.890015,1453.949951,1500.560059,1500.560059,1279406300
2018-03-01,1488.140015,1507.890015,1423.689941,1436.219971,1436.219971,814792300
2018-04-01,1443.770020,1491.819946,1387.819946,1465.239990,1465.239990,761626400
2018-05-01,1460.250000,1531.099976,1458.800049,1512.010010,1512.010010,919147300
2018-06-01,1519.550049,1545.140015,1515.880005,1518.589966,1518.589966,881257600
2018-07-01,1511.790039,1585.459961,1509.869995,1579.489990,1579.489990,697991500
2018-08-01,1584.300049,1666.369995,1563.739990,1666.040039,1666.040039,1141571200
2018-09-01,1663.050049,1676.410034,1627.839966,1667.500000,1667.500000,845829200
2018-10-01,1641.390015,1661.459961,1555.209961,1587.140015,1587.140015,961737300
2018-11-01,1589.069946,1665.750000,1587.630005,1633.609985,1633.609985,1019518300
2018-12-01,1664.000000,1665.650024,1379.219971,1464.510010,1464.510010,1291191200
2019-01-01,1465.150024,1559.489990,1446.790039,1554.140015,1554.140015,1000336700
2019-02-01,1554.270020,1591.609985,1533.979980,1571.209961,1571.209961,842140500
2019-03-01,1577.219971,1588.589966,1518.040039,1542.800049,1542.800049,837812200
2019-04-01,1551.290039,1630.219971,1549.900024,1599.079956,1599.079956,1004210800
2019-05-01,1606.329956,1610.209961,1534.369995,1544.439941,1544.439941,1545477700
2019-06-01,1523.050049,1598.349976,1517.189941,1598.050049,1598.050049,1190219200
2019-07-01,1601.760010,1626.369995,1555.359985,1624.420044,1624.420044,918984000
2019-08-01,1618.380005,1634.640015,1532.680054,1561.979980,1561.979980,1029201800
2019-09-01,1559.719971,1628.390015,1545.349976,1615.479980,1615.479980,805425800
2019-10-01,1610.650024,1667.209961,1589.869995,1654.130005,1654.130005,605656400
2019-11-01,1663.160034,1702.520020,1650.959961,1702.520020,1702.520020,785458800
2019-12-01,1699.979980,1703.180054,1668.449951,1682.020020,1682.020020,1063815600
2020-01-01,1685.790039,1742.800049,1666.790039,1696.329956,1696.329956,1096706500
2020-02-01,1663.349976,1751.790039,1601.810059,1611.709961,1611.709961,1020279400
2020-03-01,1593.260010,1627.930054,1142.160034,1321.939941,1321.939941,1944587000
2020-04-01,1291.880005,1470.709961,1266.520020,1426.300049,1426.300049,1229582300
2020-05-01,1385.979980,1470.209961,1351.209961,1438.250000,1438.250000,995617400
2020-06-01,1419.130005,1484.510010,1321.290039,1340.699951,1340.699951,1343120800
2020-07-01,1350.449951,1406.270020,1348.959961,1405.920044,1405.920044,189832700
2020-07-02,1385.849976,1406.270020,1382.209961,1405.329956,1405.329956,0
