Date,Open,High,Low,Close,Adj Close,Volume
2015-08-01,111.970001,113.000000,84.739998,104.309998,99.608696,1010304800
2015-09-01,101.709999,108.730003,98.750000,101.760002,97.173645,881201500
2015-10-01,101.940002,114.080002,100.480003,113.330002,108.485481,740627200
2015-11-01,113.629997,115.470001,109.480003,114.019997,109.145966,543413300
2015-12-01,114.480003,115.750000,109.379997,111.860001,107.078308,757497500
2016-01-01,109.449997,110.180000,97.250000,104.129997,99.983170,1077308200
2016-02-01,103.629997,104.800003,94.839996,102.500000,98.418083,942259600
2016-03-01,103.480003,110.040001,103.160004,109.199997,104.851250,601605100
2016-04-01,108.540001,111.440002,104.879997,105.720001,101.810966,559253800
2016-05-01,105.989998,110.510002,104.400002,110.339996,106.260132,536482700
2016-06-01,110.000000,110.750000,101.750000,107.540001,103.563675,577926300
2016-07-01,107.489998,115.540001,106.570000,115.230003,111.264900,421072600
2016-08-01,115.309998,118.010002,114.220001,116.440002,112.433258,369269900
2016-09-01,116.480003,119.220001,113.629997,118.720001,114.634804,540756600
2016-10-01,118.570000,119.660004,115.940002,116.989998,113.247360,406941800
2016-11-01,117.190002,119.510002,113.449997,117.500000,113.741035,598118800
2016-12-01,117.459999,121.519997,115.220001,118.480003,114.689697,498414300
2017-01-01,119.269997,125.919998,118.889999,124.570000,120.941452,366254600
2017-02-01,125.449997,130.699997,124.860001,130.020004,126.232712,307437600
2017-03-01,130.850006,132.740005,129.399994,132.380005,128.523956,442963500
2017-04-01,132.490005,136.339996,130.380005,135.990005,132.303406,388248100
2017-05-01,136.440002,141.839996,135.869995,141.289993,137.459747,532489700
2017-06-01,141.580002,143.899994,136.250000,137.639999,133.908707,1046003200
2017-07-01,138.270004,145.960007,135.800003,143.229996,139.726776,705002300
2017-08-01,143.720001,146.210007,140.179993,146.199997,142.624146,810771900
2017-09-01,146.389999,146.589996,142.100006,145.449997,141.892471,631562000
2017-10-01,145.669998,152.369995,144.929993,152.149994,148.753479,549094600
2017-11-01,152.759995,156.690002,150.770004,155.149994,151.686523,584198400
2017-12-01,154.199997,158.770004,152.059998,155.759995,152.282928,622383900
2018-01-01,156.559998,170.949997,156.169998,169.399994,165.964752,698394900
2018-02-01,168.100006,170.729996,150.130005,167.210007,163.819183,1179841200
2018-03-01,167.300003,175.210007,156.039993,160.130005,156.882751,1085306700
2018-04-01,158.990005,167.000000,153.880005,160.940002,157.932129,987380500
2018-05-01,160.520004,171.199997,159.220001,170.070007,166.891495,687987000
2018-06-01,170.919998,177.979996,169.169998,171.649994,168.441940,784338500
2018-07-01,170.039993,182.929993,169.669998,176.449997,173.522842,708010500
2018-08-01,176.860001,187.520004,175.789993,186.649994,183.553650,667523000
2018-09-01,186.080002,186.490005,180.440002,185.789993,182.707916,645534400
2018-10-01,186.869995,187.529999,160.089996,169.820007,167.303375,1817070600
2018-11-01,170.070007,175.580002,157.130005,169.369995,166.860031,1152121500
2018-12-01,173.110001,173.309998,143.460007,154.259995,151.973969,1395544900
2019-01-01,150.990005,168.990005,149.490005,168.160004,166.141968,933706500
2019-02-01,167.330002,174.660004,166.570007,173.190002,171.111603,535964100
2019-03-01,174.440002,182.830002,169.339996,179.660004,177.503952,781972700
2019-04-01,181.509995,191.320007,180.770004,189.539993,187.606171,550157700
2019-05-01,190.779999,191.320007,173.869995,173.949997,172.175247,901554000
2019-06-01,173.479996,189.770004,169.270004,186.740005,184.834778,688730400
2019-07-01,190.320007,195.550003,188.380005,191.100006,189.568497,494025500
2019-08-01,191.429993,194.979996,179.199997,187.470001,185.967590,814286500
2019-09-01,186.220001,194.710007,185.029999,188.809998,187.296814,550650200
2019-10-01,189.500000,197.830002,181.820007,197.080002,195.894791,576983400
2019-11-01,197.929993,206.050003,197.630005,205.100006,203.866577,351429700
2019-12-01,205.110001,214.559998,199.229996,212.610001,211.331390,429951100
2020-01-01,214.399994,225.880005,212.240005,219.070007,218.224670,585233800
2020-02-01,220.139999,237.470001,198.169998,205.800003,205.005859,953525400
2020-03-01,208.880005,219.610001,164.929993,190.399994,189.665268,2191775700
2020-04-01,184.770004,220.039993,180.860001,218.910004,218.529984,1091909700
2020-05-01,214.500000,233.600006,211.119995,233.360001,232.954895,847090400
2020-06-01,232.460007,251.149994,231.470001,247.600006,247.170181,928360400
2020-07-01,247.639999,269.790009,247.080002,258.010010,258.010010,679697200
2020-07-23,264.549988,265.230011,256.559998,258.010010,258.010010,51363538
